zip_code,zip_type,ZCTA,borough,name,land_area_acres,population_count,people_per_acre,median_income,income_margin_of_error,percent_low_education,percent_vacant_units,percent_pre1950_units
10019,S,10019,Manhattan,10019 - Midtown/Clinton,435.22,42870,98.5,80519,6561,7.5,21.3,42.8
10020,S,10020,Manhattan,10020 - Rockefeller Center,17.68,0,0,0,0,0.0,0.0,0.0
10021,S,10021,Manhattan,10021 - Lenox Hill,247.75,43631,176.11,106236,7929,2.9,20.0,36.9
10022,S,10022,Manhattan,10022 - Sutton Place/Beekman Place,279.28,31924,114.31,106888,7306,1.3,23.3,38.0
10023,S,10023,Manhattan,10023 - Lincoln Center/Ansonia,313.93,60998,194.3,105311,5150,3.7,17.8,55.2
10024,S,10024,Manhattan,10024 - Upper West Side,549.04,59283,107.98,110091,5604,4.8,13.0,81.9
10025,S,10025,Manhattan,10025 - Cathedral,481.05,94600,196.65,68463,4161,9.0,8.6,69.8
10026,S,10026,Manhattan,"10026 - Central Harlem, South",212.7,34003,159.86,42058,3040,19.1,12.7,49.0
10027,S,10027,Manhattan,10027 - Manhattanville,557.75,59707,107.05,35694,2558,17.0,11.7,53.4
10028,S,10028,Manhattan,10028 - Yorkville,201.07,45141,224.5,107976,6678,1.9,12.1,43.9
10029,S,10029,Manhattan,"10029 - East Harlem, South",528.06,76003,143.93,31254,1526,29.6,8.1,35.2
10030,S,10030,Manhattan,"10030 - Central Harlem, Middle",178.53,26999,151.23,30674,2530,23.9,12.2,62.1
10031,S,10031,Manhattan,10031 - Hamilton Heights,416.51,56438,135.5,36495,2470,27.3,9.5,81.3
10032,S,10032,Manhattan,10032 - South Washington Heights,420.79,57331,136.25,36095,2424,35.2,6.2,79.4
10033,S,10033,Manhattan,10033 - Washington Heights,386.92,53926,139.37,41352,3264,27.0,5.5,84.3
10034,S,10034,Manhattan,10034 - Inwood,720.87,38908,53.97,43049,2640,30.1,5.6,77.0
10035,S,10035,Manhattan,"10035 - East Harlem, Middle",893.6,33969,38.01,26214,2351,35.3,10.4,30.6
10036,S,10036,Manhattan,10036 - Theatre District/Clinton,283.71,24711,87.1,64013,5276,6.3,15.5,39.4
10037,S,10037,Manhattan,"10037 - East Harlem, North",168.95,17416,103.08,39897,5621,17.1,11.3,30.2
10038,S,10038,Manhattan,10038 - South St. Seaport/Chinatown,190.46,20300,106.58,65934,5696,16.2,9.6,36.1
10039,S,10039,Manhattan,"10039 - Central Harlem, North",296.37,24527,82.76,35710,2948,23.5,8.4,36.4
10040,S,10040,Manhattan,10040 - North Washington Heights,241.22,41905,173.72,40385,3023,27.0,4.6,79.0
10041,S,10004,Manhattan,10041,358.25,3089,8.62,127281,22042,1.8,24.2,76.5
10043,U,10005,Manhattan,10043,47.05,7135,151.64,120729,11887,2.3,22.7,51.1
10044,S,10044,Manhattan,10044 - Roosevelt Island,154.68,11661,75.39,75325,11779,13.9,10.8,2.5
10045,S,10038,Manhattan,10045,190.46,20300,106.58,65934,5696,16.2,9.6,36.1
10055,S,10003,Manhattan,10055,368.94,56024,151.85,91767,5086,3.4,11.8,60.0
10060,S,10001,Manhattan,10060,397.7,21102,53.06,76138,8189,7.3,14.0,45.4
10065,S,10065,Manhattan,10065,247.24,32270,130.52,109960,11982,2.6,23.8,40.7
10069,S,10069,Manhattan,10069,66.67,5199,77.98,186569,36953,0.3,17.7,1.5
10075,S,10075,Manhattan,10075,118.11,26121,221.16,100206,7508,1.7,15.8,46.7
10080,U,10280,Manhattan,10080,88.63,7853,88.61,125830,11961,2.4,20.6,1.1
10081,U,10005,Manhattan,10081,47.05,7135,151.64,120729,11887,2.3,22.7,51.1
10087,U,10017,Manhattan,10087,204.89,16575,80.9,108250,6747,2.2,21.4,44.6
10090,S,10018,Manhattan,10090,205.94,5229,25.39,87813,13610,10.1,18.7,42.2
10095,S,10001,Manhattan,10095,397.7,21102,53.06,76138,8189,7.3,14.0,45.4
10101,P,10019,Manhattan,10101,435.22,42870,98.5,80519,6561,7.5,21.3,42.8
10102,U,10019,Manhattan,10102,435.22,42870,98.5,80519,6561,7.5,21.3,42.8
10103,S,10103,Manhattan,10103,6.12,3,0.49,0,0,0.0,0.0,0.0
10104,S,10019,Manhattan,10104,435.22,42870,98.5,80519,6561,7.5,21.3,42.8
10105,S,10019,Manhattan,10105,435.22,42870,98.5,80519,6561,7.5,21.3,42.8
10106,S,10019,Manhattan,10106,435.22,42870,98.5,80519,6561,7.5,21.3,42.8
10107,S,10019,Manhattan,10107,435.22,42870,98.5,80519,6561,7.5,21.3,42.8
10108,P,10036,Manhattan,10108,283.71,24711,87.1,64013,5276,6.3,15.5,39.4
10109,U,10036,Manhattan,10109,283.71,24711,87.1,64013,5276,6.3,15.5,39.4
10110,S,10110,Manhattan,10110,6.6,0,0,0,0,0.0,0.0,0.0
10111,S,10111,Manhattan,10111,2.37,0,0,0,0,0.0,0.0,0.0
10112,S,10112,Manhattan,10112,3.77,0,0,0,0,0.0,0.0,0.0
10113,P,10011,Manhattan,10113,421.38,50984,120.99,101515,2204,4.9,11.3,61.3
10114,U,10003,Manhattan,10114,368.94,56024,151.85,91767,5086,3.4,11.8,60.0
10115,S,10115,Manhattan,10115,1.64,0,0,0,0,0.0,0.0,0.0
10116,P,10027,Manhattan,10116,557.75,59707,107.05,35694,2558,17.0,11.7,53.4
10117,U,10001,Manhattan,10117,397.7,21102,53.06,76138,8189,7.3,14.0,45.4
10118,S,10016,Manhattan,10118,340.6,54183,159.08,101979,4073,2.9,15.4,31.3
10119,S,10119,Manhattan,10119,10.53,92,8.74,0,0,0.0,0.0,0.0
10120,S,10001,Manhattan,10120,397.7,21102,53.06,76138,8189,7.3,14.0,45.4
10121,S,10001,Manhattan,10121,397.7,21102,53.06,76138,8189,7.3,14.0,45.4
10122,S,10001,Manhattan,10122,397.7,21102,53.06,76138,8189,7.3,14.0,45.4
10123,S,10001,Manhattan,10123,397.7,21102,53.06,76138,8189,7.3,14.0,45.4
10124,U,10022,Manhattan,10124,279.28,31924,114.31,106888,7306,1.3,23.3,38.0
10125,U,10001,Manhattan,10125,397.7,21102,53.06,76138,8189,7.3,14.0,45.4
10126,U,10022,Manhattan,10126,279.28,31924,114.31,106888,7306,1.3,23.3,38.0
10128,S,10128,Manhattan,10128 - Yorkville,301.23,60453,200.69,96974,5207,4.8,11.4,41.1
10129,P,10018,Manhattan,10129,205.94,5229,25.39,87813,13610,10.1,18.7,42.2
10130,U,10001,Manhattan,10130,397.7,21102,53.06,76138,8189,7.3,14.0,45.4
10131,U,10021,Manhattan,10131,247.75,43631,176.11,106236,7929,2.9,20.0,36.9
10132,U,10024,Manhattan,10132,549.04,59283,107.98,110091,5604,4.8,13.0,81.9
