ZCTA,median_income,margin_of_error
12438,77019,62774
12439,33500,31437
12440,72619,24283
12441,31683,27853
12442,25385,15330
12443,80900,14849
12444,37841,14943
12446,51712,11644
12448,72581,26237
12449,52957,6609
12450,39205,18202
12451,49013,24894
12452,67500,13509
12453,77115,159789
12454,77708,30252
12455,45000,10724
12456,58988,1489
12457,39583,43814
12458,41908,14384
12459,73672,62028
12460,56765,24266
12461,71375,17974
12463,43047,13554
12464,35238,14894
12465,14500,54584
12466,63173,6729
12468,43576,2612
12469,55357,13614
12470,39659,29461
12471,51691,29289
12472,41799,10216
12473,78500,33848
12474,55607,5936
12475,41667,12929
12477,59170,4317
12480,45156,28532
12481,53042,4210
12482,27138,13614
12483,35724,30400
12484,89607,27225
12485,40069,11074
12486,68071,5100
12487,70156,17507
12489,40893,20915
12490,,
12491,70795,12186
12492,48036,13641
12493,83869,55747
12494,70450,36320
12495,13370,17300
12496,49744,11382
12498,67988,6495
12501,61875,9119
12502,61667,3818
12503,70438,4077
12504,,
12507,65795,4037
12508,63796,4800
12512,98421,48421
12513,67333,47305
12514,91010,8991
12515,59392,24416
12516,74750,37137
12517,48208,17267
12518,80397,6441
12520,84583,11449
12521,53450,19115
12522,64243,4551
12523,48977,11172
12524,81281,4514
12525,77438,12048
12526,58920,6949
12527,38750,150318
12528,63873,9098
12529,65294,16267
12530,,
12531,95200,25722
12533,100288,9129
12534,47286,3516
12538,62487,8848
12540,98311,11469
12542,61943,5626
12543,58750,6686
12545,61216,5852
12546,62092,9543
12547,66413,15594
12548,48099,5739
12549,75826,7017
12550,55036,2801
12553,73898,3737
12561,64592,6181
12563,94291,16308
12564,79036,8053
12565,39554,4578
12566,85534,5350
12567,63052,5070
12569,73481,8739
12570,89954,12311
12571,67266,4714
12572,72331,6184
12574,61750,14112
12575,103672,18871
12577,108000,64269
12578,89167,18092
12580,77938,11368
12581,67500,8609
12582,92604,21076
12583,54271,11552
12585,92135,12777
12586,68989,9096
12589,72648,5546
12590,77020,5464
12592,57561,6887
12594,74852,7656
12601,41881,2564
12603,79371,4941
12604,,
12701,31058,5805
12719,61174,12891
12720,113438,90167
12721,58448,7454
12722,,
12723,56829,3604
12724,85417,18552
12725,71250,33095
12726,55500,11195
12729,49290,10294
12732,40500,15017
12733,48173,32794
12734,22792,9701
12736,43021,13036
12737,50256,10919
12738,79783,56637
12740,52083,9262
12741,62188,15167
12742,57625,44993
12743,46818,36367
12745,50870,12937
12746,56000,12820
12747,46940,26673
12748,57790,11938
12749,65488,62542
12750,144063,182562
12751,31518,15495
12752,63571,37926
12754,41861,8903
12758,55098,5708
12759,37659,6215
12760,37500,24279
12762,43618,14378
12763,59074,13717
12764,53828,9407
12765,55650,13348
12766,54018,8753
12767,91125,62539
12768,36635,3953
12769,48750,16947
12770,45694,35628
12771,44921,5432
12775,79602,13684
12776,48750,8398
12777,65147,10725
12778,54800,117600
12779,40288,8518
12780,41098,11155
12781,63214,39330
12783,49114,4626
12784,45313,110132
12785,47880,12386
12786,47417,27313
12787,76250,76155
12788,44467,12205
12789,45179,13650
12790,49160,6872
12791,45625,11714
12792,40481,16649
12801,43533,3302
12803,58088,7507
12804,60401,3979
12808,61406,21499
12809,60357,7349
12810,56000,14636
12811,41184,13042
12812,62083,26682
12814,57021,5302
12815,52969,7083
12816,50170,5566
12817,50764,14214
12819,26667,26076
12821,36875,39754
12822,51433,5640
12823,22039,81772
12824,77679,31253
12827,60048,7806
12828,49790,4782
12831,73728,7578
12832,47757,6374
12833,54503,5541
12834,58483,8332
12835,49421,3791
12836,54375,8511
12837,34531,17049
12838,67083,17715
12839,44869,5224
12841,69167,29493
12842,44375,6913
12843,51944,21388
12844,61071,67042
12845,64737,8935
12846,71165,10107
12847,57232,31720
12849,68031,31666
12850,74209,12014
12851,46250,21440
12852,48833,9109
12853,44879,15221
12855,48500,15172
12856,45588,44652
12857,54306,13988
12858,51667,163537
12859,66364,18623
12860,47188,19453
12861,49844,10701
12862,,
12863,52500,29563
12864,64688,15337
12865,51750,3977
12866,64696,2818
12870,47455,11797
12871,60519,10251
12872,16150,668
12873,52500,9702
12874,92500,45819
12878,44844,15598
12883,41189,4715
12884,42266,13873
12885,44348,7359
12886,63288,7473
12887,43150,7325
12901,42622,2364
12903,56226,4485
12910,55227,11736
12911,64659,61764
12912,48000,10298
12913,54940,9604
12914,41250,10865
12916,40875,8908
12917,50909,10198
12918,60054,13601
12919,50821,4871
12920,46625,6576
12921,56996,10736
12922,51458,21409
12923,49479,8278
12924,24375,40639
12926,44208,3686
12927,51875,11402
12928,55263,10834
12929,45188,6398
12930,46875,11013
12932,50972,12098
12933,,
12934,42375,13847
12935,42281,5391
12936,50069,7236
12937,48190,4833
12939,48750,40239
12941,64432,14117
12942,44306,8185
12943,51563,43737
12944,50327,4308
12945,39100,30832
12946,52736,8967
12950,35000,4860
12952,40066,11195
12953,49363,3482
12955,60234,13555
12956,56625,13111
12957,31570,3883
12958,39464,10657
12959,57368,30438
12960,47523,12626
12961,42122,42826
12962,68388,11670
12964,68000,37813
12965,31042,10286
12966,45959,5373
12967,52545,10673
12969,33750,8425
12970,50250,19041
12972,65940,4021
12973,42188,11167
12974,35208,6086
12975,38958,41039
12976,41875,29647
12977,,
12978,71755,17248
12979,56607,6309
12980,37396,8901
12981,54583,13610
12983,46767,5989
12985,65750,23392
12986,49252,4415
12987,38233,7156
12989,56667,12836
12992,55724,6230
12993,41691,6205
12996,42887,5411
12997,57250,11890
12998,34260,11114
13020,36250,32588
13021,47070,3006
13024,,
13026,64286,11166
