Created Date,Incident Zip,Borough
06/11/2011 12:00:00 AM,11369,QUEENS
06/11/2011 12:00:00 AM,11215,BROOKLYN
06/11/2011 12:00:00 AM,10036,MANHATTAN
06/11/2011 12:00:00 AM,11222,BROOKLYN
06/11/2011 12:00:00 AM,11221,BROOKLYN
06/12/2011 12:00:00 AM,10033,MANHATTAN
06/12/2011 12:00:00 AM,11238,BROOKLYN
06/12/2011 12:00:00 AM,11238,BROOKLYN
06/12/2011 12:00:00 AM,10457,BRONX
06/12/2011 12:00:00 AM,11203,BROOKLYN
06/12/2011 12:00:00 AM,11238,BROOKLYN
06/12/2011 12:00:00 AM,11105,QUEENS
06/12/2011 12:00:00 AM,10021,MANHATTAN
06/12/2011 12:00:00 AM,11210,BROOKLYN
06/12/2011 12:00:00 AM,10305,STATEN ISLAND
06/12/2011 12:00:00 AM,11226,BROOKLYN
06/12/2011 12:00:00 AM,10305,STATEN ISLAND
06/12/2011 12:00:00 AM,10032,MANHATTAN
06/12/2011 12:00:00 AM,11206,BROOKLYN
06/12/2011 12:00:00 AM,11414,QUEENS
06/12/2011 12:00:00 AM,11103,QUEENS
06/12/2011 12:00:00 AM,10025,MANHATTAN
06/12/2011 12:00:00 AM,11211,BROOKLYN
06/12/2011 12:00:00 AM,11423,QUEENS
06/12/2011 12:00:00 AM,10075,MANHATTAN
06/12/2011 12:00:00 AM,11101,QUEENS
06/12/2011 12:00:00 AM,10466,BRONX
06/12/2011 12:00:00 AM,11378,QUEENS
06/12/2011 12:00:00 AM,11226,BROOKLYN
06/12/2011 12:00:00 AM,11203,BROOKLYN
06/12/2011 12:00:00 AM,11231,BROOKLYN
06/12/2011 12:00:00 AM,11203,BROOKLYN
06/12/2011 12:00:00 AM,11203,BROOKLYN
06/12/2011 12:00:00 AM,11436,QUEENS
06/13/2011 12:00:00 AM,11221,BROOKLYN
06/13/2011 12:00:00 AM,10031,MANHATTAN
06/13/2011 12:00:00 AM,10310,STATEN ISLAND
06/13/2011 12:00:00 AM,10309,STATEN ISLAND
06/13/2011 12:00:00 AM,10305,STATEN ISLAND
06/13/2011 12:00:00 AM,11233,BROOKLYN
06/13/2011 12:00:00 AM,11412,QUEENS
06/13/2011 12:00:00 AM,11378,QUEENS
06/13/2011 12:00:00 AM,10309,STATEN ISLAND
06/13/2011 12:00:00 AM,11412,QUEENS
06/13/2011 12:00:00 AM,11378,QUEENS
06/13/2011 12:00:00 AM,10027,MANHATTAN
06/13/2011 12:00:00 AM,11364,QUEENS
06/13/2011 12:00:00 AM,10468,BRONX
06/13/2011 12:00:00 AM,10472,BRONX
06/13/2011 12:00:00 AM,11101,QUEENS
06/13/2011 12:00:00 AM,10027,MANHATTAN
06/13/2011 12:00:00 AM,10021,MANHATTAN
06/13/2011 12:00:00 AM,10467,BRONX
06/13/2011 12:00:00 AM,10034,MANHATTAN
06/13/2011 12:00:00 AM,10034,MANHATTAN
06/13/2011 12:00:00 AM,10033,MANHATTAN
06/13/2011 12:00:00 AM,10469,BRONX
06/13/2011 12:00:00 AM,11217,BROOKLYN
06/13/2011 12:00:00 AM,10002,MANHATTAN
06/13/2011 12:00:00 AM,10024,MANHATTAN
06/13/2011 12:00:00 AM,10032,MANHATTAN
