ZCTA,land_area_sq_meters,land_area_acres,water_area_sq_meters,water_area_acres,population_count,housing_unit_count,people_per_acre,housing_units_per_acre
14722,858249,212.08,0,0.00,153,1224,0.72,5.77
14723,112001292,27676.64,33957,8.39,1295,674,0.05,0.02
14724,192441477,47554.21,1523361,376.44,2540,1508,0.05,0.03
14726,105329713,26028.03,1080,0.27,2156,685,0.08,0.03
14727,281532567,69569.51,2133791,527.28,5450,3382,0.08,0.05
14728,69400021,17149.44,121437,30.01,1031,962,0.06,0.06
14729,91341026,22571.28,626628,154.85,948,552,0.04,0.02
14731,118642487,29317.74,122229,30.20,1576,2568,0.05,0.09
14732,5794277,1431.82,0,0.00,211,85,0.15,0.06
14733,71799900,17742.47,482917,119.33,3833,1804,0.22,0.10
14735,214620527,53034.88,1711660,422.97,2751,1555,0.05,0.03
14736,13535416,3344.74,0,0.00,282,195,0.08,0.06
14737,285523891,70555.81,930916,230.04,4252,2653,0.06,0.04
14738,170434243,42116.01,583040,144.08,3651,1809,0.09,0.04
14739,204985815,50654.04,169576,41.90,2903,1809,0.06,0.04
14740,67466588,16671.67,12952,3.20,1431,642,0.09,0.04
14741,159498082,39413.57,137638,34.01,1873,1270,0.05,0.03
14742,581623,143.72,0,0.00,314,128,2.18,0.89
14743,112522248,27805.37,78914,19.50,1783,953,0.06,0.03
14744,45143834,11155.49,411100,101.59,2094,512,0.19,0.05
14747,112740880,27859.40,341951,84.50,2289,1066,0.08,0.04
14748,46367231,11457.81,974765,240.87,746,368,0.07,0.03
14750,28745085,7103.20,0,0.00,4426,2384,0.62,0.34
14752,649516,160.50,0,0.00,169,173,1.05,1.08
14753,142509330,35215.48,542390,134.03,1166,573,0.03,0.02
14754,43028236,10632.71,36063,8.91,667,366,0.06,0.03
14755,195274750,48254.34,394967,97.60,2916,1567,0.06,0.03
14756,355130,87.76,0,0.00,110,136,1.25,1.55
14757,119619162,29559.09,244818,60.50,3487,2530,0.12,0.09
14760,164347071,40611.80,2114463,522.50,18775,9266,0.46,0.23
14767,138165475,34142.07,609875,150.71,2088,804,0.06,0.02
